,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol,date
1775,1632700800,42176.3,44333.0,42120.7,43204.6,1977.9,85804544.23,force_direct,,2021-09-27
1776,1632787200,41038.4,42750.0,40875.6,42176.3,2231.71,93197067.53,force_direct,,2021-09-28
1777,1632873600,41524.8,42579.9,40772.2,41038.4,1708.26,71292327.94,force_direct,,2021-09-29
1778,1632960000,43798.7,44100.0,41423.7,41524.8,3053.65,131974073.8,force_direct,,2021-09-30
1779,1633046400,48163.7,48475.0,43300.3,43798.7,6512.54,303390138.73,force_direct,,2021-10-01
1780,1633132800,47662.0,48349.2,47487.1,48163.7,1621.18,77704324.19,force_direct,,2021-10-02
1781,1633219200,48230.2,49257.9,47131.1,47662.0,1653.14,79702104.37,force_direct,,2021-10-03
1782,1633305600,49243.3,49500.0,46895.8,48230.2,2828.93,136783377.08,force_direct,,2021-10-04
1783,1633392000,51487.0,51888.0,49084.3,49243.3,4047.31,204403189.64,force_direct,,2021-10-05
1784,1633478400,55350.2,55770.0,50366.4,51487.0,7380.23,394748271.96,force_direct,,2021-10-06
1785,1633564800,53817.3,55352.2,53399.8,55350.2,3123.86,169570516.8,force_direct,,2021-10-07
1786,1633651200,53960.5,56114.1,53685.0,53817.3,2630.77,143905068.07,force_direct,,2021-10-08
1787,1633737600,54960.2,55515.1,53700.0,53960.5,1238.79,67920235.15,force_direct,,2021-10-09
1788,1633824000,54677.5,56500.0,54118.6,54960.2,2295.11,126742746.72,force_direct,,2021-10-10
1789,1633910400,57499.5,57837.7,54450.2,54677.5,2787.1,158257205.21,force_direct,,2021-10-11
1790,1633996800,56010.1,57673.8,54019.2,57499.5,3699.84,207781171.85,force_direct,,2021-10-12
1791,1634083200,57381.2,57777.0,54271.2,56010.1,3018.74,169136550.35,force_direct,,2021-10-13
1792,1634169600,57377.6,58580.4,56825.0,57381.2,2594.22,149575218.96,force_direct,,2021-10-14
1793,1634256000,61656.2,62887.5,56888.5,57377.6,5171.66,311928177.86,force_direct,,2021-10-15
1794,1634342400,60873.4,62400.0,60162.0,61656.2,1963.73,120200186.69,force_direct,,2021-10-16
1795,1634428800,61526.5,61674.3,58900.2,60873.4,2142.26,129683759.31,force_direct,,2021-10-17
1796,1634515200,62037.7,62672.6,59900.0,61526.5,3406.19,210201480.15,force_direct,,2021-10-18
1797,1634601600,64284.9,64448.0,61320.0,62037.7,3564.49,224207389.42,force_direct,,2021-10-19
1798,1634688000,66035.8,66982.2,63546.2,64284.9,3553.4,232747298.59,force_direct,,2021-10-20
1799,1634774400,62198.0,66637.8,54100.0,66035.8,6504.96,414146476.18,force_direct,,2021-10-21
1800,1634860800,60687.5,63757.9,60034.2,62198.0,2972.78,183960339.2,force_direct,,2021-10-22
1801,1634947200,61296.9,61713.9,59610.4,60687.5,1276.38,77883014.78,force_direct,,2021-10-23
1802,1635033600,60882.5,61450.0,59523.0,61296.9,1443.19,87286493.2,force_direct,,2021-10-24
1803,1635120000,63081.8,63700.0,60674.0,60882.5,2256.84,141474349.92,force_direct,,2021-10-25
1804,1635206400,60310.2,63288.0,59824.2,63081.8,2575.38,158797008.78,force_direct,,2021-10-26
1805,1635292800,58500.1,61477.1,58140.6,60310.2,3960.98,234933170.86,force_direct,,2021-10-27
1806,1635379200,60613.5,62490.0,57948.0,58500.1,4521.78,272759168.56,force_direct,,2021-10-28
1807,1635465600,62246.5,62950.0,60223.5,60613.5,2728.85,168337492.0,force_direct,,2021-10-29
1808,1635552000,61866.3,62359.2,60741.1,62246.5,1202.81,74019449.53,force_direct,,2021-10-30
1809,1635638400,61380.1,62422.8,60051.0,61866.3,1518.03,92794046.06,force_direct,,2021-10-31
1810,1635724800,60954.5,62500.0,59449.1,61380.1,2653.29,162322245.31,force_direct,,2021-11-01
1811,1635811200,63279.7,64327.0,60665.9,60954.5,2748.17,173275714.56,force_direct,,2021-11-02
1812,1635897600,62942.9,63550.4,60810.3,63279.7,2575.68,161113191.95,force_direct,,2021-11-03
1813,1635984000,61449.0,63115.0,60644.2,62942.9,1875.76,115661088.32,force_direct,,2021-11-04
1814,1636070400,61006.2,62631.9,60804.4,61449.0,1431.43,87989322.1,force_direct,,2021-11-05
1815,1636156800,61536.3,61602.1,60129.8,61006.2,1337.98,81534589.1,force_direct,,2021-11-06
1816,1636243200,63317.8,63317.8,61388.0,61536.3,1554.0,96754314.75,force_direct,,2021-11-07
1817,1636329600,67559.8,67777.7,63317.8,63317.8,3863.1,253880816.89,force_direct,,2021-11-08
1818,1636416000,66950.0,68495.0,66316.0,67559.8,3128.97,211053127.77,force_direct,,2021-11-09
1819,1636502400,64969.0,68991.0,62700.1,66950.0,6353.72,420593217.66,force_direct,,2021-11-10
1820,1636588800,64825.4,65611.8,64108.2,64969.0,1606.79,104323774.09,force_direct,,2021-11-11
1821,1636675200,64153.0,65483.2,62300.5,64825.4,3153.3,201198924.51,force_direct,,2021-11-12
1822,1636761600,64393.1,64982.5,63415.0,64153.0,1391.47,89187457.88,force_direct,,2021-11-13
1823,1636848000,65495.0,65495.0,63636.0,64393.1,1479.87,95589809.44,force_direct,,2021-11-14
1824,1636934400,63615.8,66349.6,63423.1,65495.0,2184.39,141882062.01,force_direct,,2021-11-15
1825,1637020800,60137.2,63615.8,58630.0,63615.8,5540.52,337185448.35,force_direct,,2021-11-16
1826,1637107200,60367.8,60847.0,58400.0,60137.2,3122.33,187035385.4,force_direct,,2021-11-17
1827,1637193600,56921.7,60964.4,56526.2,60367.8,4581.79,268885071.56,force_direct,,2021-11-18
1828,1637280000,58099.6,58384.5,55674.0,56921.7,2241.92,128160279.17,force_direct,,2021-11-19
1829,1637366400,59744.2,59879.0,57435.2,58099.6,1745.52,102600864.08,force_direct,,2021-11-20
1830,1637452800,58646.2,60050.0,58532.8,59744.2,1374.08,81321715.68,force_direct,,2021-11-21
1831,1637539200,56295.5,59411.8,55633.6,58646.2,3918.66,224910230.34,force_direct,,2021-11-22
1832,1637625600,57571.4,57850.0,55362.7,56295.5,3805.19,216637937.25,force_direct,,2021-11-23
1833,1637712000,57203.3,57738.9,55909.0,57571.4,2504.62,142283103.46,force_direct,,2021-11-24
1834,1637798400,58932.6,59400.0,57053.0,57203.3,2779.69,161971870.87,force_direct,,2021-11-25
1835,1637884800,53789.0,59193.8,53571.0,58932.6,6087.35,335439172.29,force_direct,,2021-11-26
1836,1637971200,54784.9,55314.1,53658.6,53789.0,2957.23,161015762.91,force_direct,,2021-11-27
